srcStateName,srcDistrictName,srcYear,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area ,YearCode,Year
West Bengal,Nadia,2015-16,Others,(1.0-2.0),Small,95999.161,2404.495,98403.656,387.994,2015,"Agriculture Year (Jul - Jun), 2015"
West Bengal,Purba Meddinipur,2015-16,Others,(0.5-1.0),Marginal,63834.426,323.627,64158.053,88.817,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(0.5-1.0),Marginal,0,3.37,3.37,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(10.0-20.0),Large,10,0,10,0,2015,"Agriculture Year (Jul - Jun), 2015"
West Bengal,South Dinajpur,2015-16,Others,(0.5-1.0),Marginal,27704.55,141.968,27846.518,18.302,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(1.0-2.0),Small,0,7.533,7.533,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(2.0-3.0),Semi-Medium,0,12.06,12.06,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(3.0-4.0),Semi-Medium,3.589,3.144,6.733,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(4.0-5.0),Medium,11.564,0.541,12.105,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(5.0-7.5),Medium,0,5.812,5.812,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,(7.5-10.0),Medium,7.59,0,7.59,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Institutional,Below 0.5,Marginal,0,4.829,4.829,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(0.5-1.0),Marginal,11.362,12.582,23.944,0.087,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(1.0-2.0),Small,34.274,30.21,64.484,13.413,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Caste,Below 0.5,Marginal,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,148.232,0,148.232,29.053,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(10.0-20.0),Large,946.127,20.878,967.005,1110.75,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Yamunanagar,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(1.0-2.0),Small,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(2.0-3.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(5.0-7.5),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,(7.5-10.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Institutional,Below 0.5,Marginal,0.445,0,0.445,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(0.5-1.0),Marginal,3144.589,41.096,3185.685,81.198,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(10.0-20.0),Large,430.032,19.699,449.731,54.396,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Yamunanagar,2015-16,Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Yamunanagar,2015-16,Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Yamunanagar,2015-16,Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Yamunanagar,2015-16,Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(0.5-1.0),Marginal,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(1.0-2.0),Small,2.75,0,2.75,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(2.0-3.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(5.0-7.5),Medium,5.78,0,5.78,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,(7.5-10.0),Medium,15.2,0,15.2,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Institutional,Below 0.5,Marginal,1.1,0,1.1,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(0.5-1.0),Marginal,4468.125,10.752,4478.877,4253.953,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(10.0-20.0),Large,16.906,0,16.906,16.914,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(1.0-2.0),Small,7631.74,115.201,7746.941,381.103,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(2.0-3.0),Semi-Medium,45.107,49.252,94.359,23.293,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(3.0-4.0),Semi-Medium,47.417,64.107,111.524,20.244,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(4.0-5.0),Medium,285.425,279.122,564.547,159.146,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(5.0-7.5),Medium,136.924,213.964,350.888,3.746,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,(7.5-10.0),Medium,4,4.9,8.9,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(1.0-2.0),Small,7444.617,44.005,7488.622,5742.708,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(1.0-2.0),Small,0,705.263,705.263,671.492,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,976.106,20.632,996.738,913.676,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,20 & Above,Large,2691.984,25.666,2717.65,276,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,864.691,50.087,914.778,669.565,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(4.0-5.0),Medium,485.982,0,485.982,602.179,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(5.0-7.5),Medium,1084.823,10.555,1095.378,1342.04,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,(7.5-10.0),Medium,819.248,15.109,834.357,843.795,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(2.0-3.0),Semi-Medium,5033.85,44.281,5078.131,2223.409,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,20 & Above,Large,22.97,0,22.97,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(3.0-4.0),Semi-Medium,2911.964,22.119,2934.083,951.827,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(4.0-5.0),Medium,853.738,0,853.738,111.172,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(5.0-7.5),Medium,593.181,0.633,593.814,626.836,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,(7.5-10.0),Medium,40.871,0,40.871,40.899,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Others,Below 0.5,Marginal,2300.325,5.77,2306.095,2162.075,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(0.5-1.0),Marginal,1604.631,754.386,2359.017,219.383,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(10.0-20.0),Large,30.2,0,30.2,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(1.0-2.0),Small,1476.87,160.87,1637.74,209.6,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,424.039,0.653,424.692,82.498,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,152.292,1.742,154.034,14.846,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(4.0-5.0),Medium,44.182,0.734,44.916,5.814,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Others,Below 0.5,Marginal,0,55.41,55.41,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Scheduled Caste,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Andaman & Nicobar Islands,Nicobar,2015-16,Scheduled Caste,(1.0-2.0),Small,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(2.0-3.0),Semi-Medium,5159.44,143.285,5302.725,242.48,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,20 & Above,Large,44.938,8.378,53.316,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(3.0-4.0),Semi-Medium,2040.776,114.486,2155.262,87.048,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(5.0-7.5),Medium,27.911,0.385,28.296,5.774,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,(7.5-10.0),Medium,16.757,0,16.757,34.663,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Caste,Below 0.5,Marginal,1512.202,396.761,1908.963,139.367,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,462.561,14.813,477.374,75.726,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(1.0-2.0),Small,412.427,6.607,419.034,197.476,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(2.0-3.0),Semi-Medium,222.853,0.875,223.728,17.242,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(3.0-4.0),Semi-Medium,70.808,0,70.808,1.532,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Siang,2015-16,Scheduled Tribes,Below 0.5,Marginal,151.732,0,151.732,46.193,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(0.5-1.0),Marginal,40.343,2.743,43.086,7.147,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(1.0-2.0),Small,45.886,0,45.886,10.594,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(2.0-3.0),Semi-Medium,30.825,0,30.825,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(3.0-4.0),Semi-Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(4.0-5.0),Medium,22.337,0,22.337,4.193,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(5.0-7.5),Medium,33.487,0,33.487,22.573,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,(7.5-10.0),Medium,27.03,0,27.03,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Bilaspur,2015-16,Scheduled Tribes,Below 0.5,Marginal,124.777,0.657,125.434,70.136,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(0.5-1.0),Marginal,8.1,0,8.1,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(4.0-5.0),Medium,1291.795,80.96,1372.755,138.3,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(5.0-7.5),Medium,1330.855,68.359,1399.214,125.809,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,(7.5-10.0),Medium,564.402,21.067,585.469,131.731,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Others,Below 0.5,Marginal,1085.314,60.884,1146.198,90.823,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(0.5-1.0),Marginal,784.959,3.294,788.253,29.066,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(10.0-20.0),Large,108.278,0,108.278,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(1.0-2.0),Small,1778.021,46.435,1824.456,76.277,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(1.0-2.0),Small,8.14,0,8.14,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(2.0-3.0),Semi-Medium,9.16,0,9.16,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(3.0-4.0),Semi-Medium,6.84,0,6.84,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(4.0-5.0),Medium,4.32,0,4.32,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(5.0-7.5),Medium,5.16,0,5.16,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,(7.5-10.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Institutional,Below 0.5,Marginal,3.61,0,3.61,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(0.5-1.0),Marginal,4352.33,519.068,4871.398,2972.342,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(10.0-20.0),Large,164.443,0,164.443,37.167,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(1.0-2.0),Small,8549.629,439.543,8989.172,2552.798,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(2.0-3.0),Semi-Medium,3502.711,311.063,3813.774,1513.006,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(3.0-4.0),Semi-Medium,1148.279,201.624,1349.903,917.937,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(4.0-5.0),Medium,873.707,48.95,922.657,91.123,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(5.0-7.5),Medium,701.314,0,701.314,99.386,2015,"Agriculture Year (Jul - Jun), 2015"
Himachal Pradesh,Chamba,2015-16,Others,(7.5-10.0),Medium,177.451,0,177.451,36.189,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(4.0-5.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(5.0-7.5),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,(7.5-10.0),Medium,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Institutional,Below 0.5,Marginal,29.355,8.668,38.023,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Others,(0.5-1.0),Marginal,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Arunachal Pradesh,Upper Subansiri,2015-16,Others,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(2.0-3.0),Semi-Medium,1672.621,22.224,1694.845,38.721,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(3.0-4.0),Semi-Medium,702.197,0,702.197,40.943,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(4.0-5.0),Medium,534.506,27.382,561.888,31.662,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(5.0-7.5),Medium,431.392,0,431.392,6.038,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,(7.5-10.0),Medium,131.765,33.712,165.477,0.284,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Caste,Below 0.5,Marginal,247.609,8.221,255.83,7.507,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Kondagaon,2015-16,Scheduled Tribes,(0.5-1.0),Marginal,8097.624,247.472,8345.096,187.412,2015,"Agriculture Year (Jul - Jun), 2015"
